review,sentiment
"Ah, the infamous ""Guinea Pig"" series...I honestly have to say that I've been disappointed as a whole by this entire series (""He Never Dies"",""Mermaid in a Manhole"", and ""Flower of Flesh and Blood"" being the exceptions...and even those aren't great by any means...), but ""Devil's Experiment"" just plain blows. There is nothing realistic-looking going on here, other than the climactic (or perhaps anti-climactic, depending on how you view it) eyeball piercing scene. The victim appears to not really care what is going on and barely whines or whimpers while being subjected to ""hideous"" (more often sometimes ""hilarious"") tortures. ""Flower of Flesh and Blood"" is a more violent and gory depiction of fake ""snuff"" material, but that film also falls flat on the realism level. I applaud the Japanese for pushing the boundaries, and they've really come a long way over the past 2 decades to wear the crown in ""extreme"" film-making, but ""Devil's Experiment"" just doesn't hold up. Worth a look if you are a die-hard, if for no other reason than to see what the fuss is about, but I can only give this film an extremely generous 3/10 and that's only for the needle-through-the-eye scene...",negative
2001 wasn't perhaps Eric Roberts best year. Both Raptor and this came out. Watched Raptor a while ago and really thought it sucked and being Erics worst. But that had it´s share moment of fun and D-standard. This one doesn't have a thing.<br /><br />Tommy Lee Thomas is the name of the probably worst actor in these days. The story lacks any punch and the whole thing feels even slower than a snail breaking in curves.<br /><br />The two thing that stands out are Martin Kove and Eric Roberts. You could argue about their effort being good or what but compared to the rest they are above all criticism.<br /><br />I say thank you Roberts see you next time (and hopefully a better one).,negative
"xica da Silva is one of the best Brazilians opera soap ever! the a black slave's story that becomes queen of a small villa when conquering the most powerful man's of the area love, in the colonial period of the brazil dominated by Portugal, that explored its diamonds. The largest xica enemy, violante, bride that it was changed by xica, is a woman of big it influences the Portugal king close to and does to take revenge of the slave of everything. Very religious person, she is a picture of the hypocritical society and religious of the time, she dedicates its life the morality of the villa that was committed by xica, that is a woman full of lusts that it faces the society of the time to preach and it helps the slaves of the area. The story also bill with forbidden loves, sorceries and vampires and religious fervor. Xica da Silva does with that you don't want to lose a I only surrender, from beginning to end!",positive
"This film fails on many many levels. The script is the first failing, and as I understand it, if the script stinks, there's nothing that can fix that. The plot is boring, after the first 45 minutes, I'm looking at the counter on the DVD saying to myself, ""how much longer?"" The cinematography is pretty awful. I'm not sure how bad the transfer was to DVD, but it looked like a VHS copy. Also, the sound was bad. I realize this isn't going to get remixed for 5.1, but yikes, it didn't even sound like it was in Dolby Stereo which had been around for almost a decade when they cut this film.<br /><br />Slipstream was far too similar to both Mad Max and Blade Runner for comfort. Because of the lack of decent special effects and high quality dialog, it is extremely disappointing. If I recall, the pointer scene took place during the last 20 minutes, usually it should take place in the first 20. Most people will be totally confused as to what the heck is going on until the final 20 minutes.<br /><br />The film's music was excellent in parts, and then completely inappropriate in others. Elmer Bernstien did the scoring, but it sounds like someone else had a hand in sticking in 'other' stuff elsewhere as it doesn't match the overall good orchestral score (with some synthesizer music.)<br /><br />There were great actors cast, Bob Peck, Mark Hamill, Ben Kingsley, Bill Paxton. And they did a great job breathing the little available life into their characters. (Well, Paxton's character was pretty stupid, and the whole movie was centered on him. I'm not sure a heroic stooge is a good choice for the main character who carries the film.) Again, a major flaw with the script.<br /><br />Thank goodness I watched this from a mail order DVD service, and not the theater. Overall a major disappointment for Sci-fi fans, or fans of Paxton, or Hamill. 90 minutes of your life, you'll never get back.",negative
"A lot of things in this futuristic satire are more theoretically funny than actually funny (though it does have some laugh-out-loud moments) but a lot of that is because it seems to have been cut by the studio to better appeal to exactly the idiots it's mocking. Many situations aren't allowed to develop, there's obvious overdubbing of expository material, and worst of all a narrator explains EVERYTHING (most of which needs no explanation), probably because some preview audience didn't understand what was going on. In other words, a movie about dumbing down has been... you guessed it.<br /><br />One hopes that a longer, better version of this comedy will eventually surface on DVD, and it will become the cult fave it deserves to be, but even in this mutilated and somewhat comic- spirit-diminished form it's one of the more memorable films of the year-- a screech of disgust against our culture and all the ways it's become trashified, stupidified and uglified in the name of appealing to the yahoos. I watched it right after Land of the Dead, George Romero's latest milking of the single idea that consumers = zombies, which is basically the same point Judge is making; yet where Romero's counterculture viewpoint (now zombies = underclass that needs to revolt against the rich) seems hopelessly out of date, Judge's take is fresh, dead-on and far more disturbing. Just listen to the yahoos in your movie audience whooping it up for President Camacho's State of the Union just like their counterparts on screen, and you'll know that we're all doomed.",positive
"Mitchell Leisen's fifth feature as director, and he shows his versatility by directing a musical, after his previous movies were heavy dramas. He also plays a cameo as the conductor.<br /><br />You can tell it is a pre code movie, and nothing like it was made in the US for quite a while afterwards (like 30+ years). Leisen shot the musical numbers so they were like what the audience would see - no widescreen shots or from above ala Busby Berkeley. What I do find funny or interesting is that you never actually see the audience.<br /><br />As others have mentioned the leads are fairly characterless, and Jack Oakie and Victor McLaghlan play their normal movie personas. Gertrude Michael however provides a bit of spark.<br /><br />The musical numbers are interesting and some good (the Rape of the Rhapsody in particular is amusing) but the drama unconvincing and faked - three murders is too many and have minimal emotional impact on the characters. This is where this movie could have been a lot better.",positive
"...the first film I had to walk out on. And it was the cast and crew pre-screening (Not that I was involved, I hasten to add). I made it through the first hour, so I reckon I'm just qualified to comment, but that was my limit.<br /><br />Like other comments here, how did this get through any kind of QA. An accumulation of the very worst in dialogue, the epitome of wooden acting, awful casting, all wrapped together without a plot.<br /><br />Tara Fitzgerald's casting was bizarre, almost comic. She possesses the worst Russian accent in movie history.<br /><br />As I left the screening, the director and producers were drinking in a bar outside the cinema. They obviously couldn't sit through it again either.<br /><br />",negative
"I will never forget when I saw this title in the video store way back when. I was always a big Weird Al fan and when I saw this video I rented and watched it. I was too young to appreciate all of Al's subtle humor and satire at the time but I remember it much later when I was old enough to understand what I was watching. If you are an ""Al"" fan, especially of his earlier work, you will thoroughly enjoy this film. It is done in the MTV-esque ""Rockumentary"" style and tells a true (but sometimes exaggerated) tale of how Al got to be where he was in 1985. You will love it if you like his brand of humor and, more importantly, his music.",positive
"This movie could be a bit boring for some people, but I find this film<br /><br />very interesting in terms of an attempt to reveal a tradition.<br /><br />The director, Lim, has made two films about traditional music in Korea before this film. The film before this one was showing the music throughout the film, and this film is trying to achieve similar things by having backgrounds in the movie just like a painting.<br /><br />Another thing is that, the story is written by both director and a philosopher, Kim who is well known scholar in Korea (holding a lot of degrees - including doctor at Havard) I'm not saying that educated people make better films but that philosopher is an expert in traditional culture in Korea, so it gives more credit on this film.",positive
"I have seen it. It's not ""good"" but interesting in an understated way. The boys in it are quite naturalistic but................the graphic/gratuitous final gang rape scene is repugnant and -oh yes- the arbitrary insertion of second world war footage is offensive in the way it attempts to compare real horror with this misogynistic contrivance. Real atrocity is real- this film is just atrocious. However, the film has a look which can draw you in. But it seems to me that is the ""Emperor's New Clothes"", but in fact in reverse. The film looks good, but the direction, story, content and final feeling you take away from this film is vacuous. If a feeling can be vacuous-this is it.",negative
"Having just seen the A Perfect Spy mini series in one go, one can do nothing but doff one's hat - a pure masterpiece, which compared to the other Le Carré minis about Smiley, has quite different qualities.<br /><br />In the minis about Smiley, it is Alex Guiness, as Smiley, who steals the show - the rest of the actors just support him, one can say.<br /><br />Here it is ensemble and story that's important, as the lead actor, played excellently by Peter Egan in the final episodes, isn't charismatic at all. <br /><br />Egan just plays a guy called Magnus Pym, who by lying, being devious and telling people what they like to hear, is very well liked by everyone, big and small. The only one who seems to understand his inner self is Alex, his Czech handler.<br /><br />Never have the machinery behind a spy, and/or traitor, been told better! After having followed his life from a very young age we fully understand what it is that makes it possible to turn him into a traitor. His ability to lie and fake everything is what makes him into 'a perfect spy', as his Czech handler calls him. <br /><br />And, by following his life, we fully understand how difficult it is to get back to the straight and narrow path, once you've veered off it. He trundles on, even if he never get anything economic out of it, except promotion by his MI5 spy masters. Everyone's happy, as long as the flow of faked information continues! <br /><br />Magnus's father, played wonderfully by Ray McAnally, is a no-good con-man, who always dreams up schemes to con people out of their money. In later years it is his son who has to bail him out, again and again. But by the example set by his dad and uncle, who takes over as guardian when his father goes to prison, and his mom is sent off to an asylum, Magnus quickly learns early that lying is the way of surviving, not telling the truth. At first he overdoes it a bit, but quickly learn to tell the right lies, and to be constant, not changing the stories from time to time that he tell those who want to listen about himself and his dad.<br /><br />His Czech handler Alex, expertly played by Rüdiger Weigang, creates, with the help of Magnus, a network of non-existing informants, which supplies the British MI5 with fake information for years, and years, just as the British did with the German spies that were active in the UK before and during the war - they kept on sending fake information to Das Vaterland long after the agents themselves had been turned, liquidated or simply been replaced by MI5 men.<br /><br />The young lads who play Magnus in younger years does it wonderfully, and most of them are more charismatic than the older, little more cynic, and tired, Pym, played by Egan. But you buy the difference easily, as that is often the way we change through life, from enthusiasm to sorrow, or indifference.<br /><br />Indeed well worth the money!",positive
"Like many other commentators here, I went in expecting a taste of music that would satisfy my curiosity - and got more than I asked for. I heard and saw a powerful, exquisite, sometimes haunting, sometimes touching, lyrical, sentimental (in the truest way) and absolutely stunning blend of music and musicians. Reminded me a lot of some forms of Indian music (East Indian) but at the same time was very very different.<br /><br />Starting from the the first track by Baba Zula to the Kurdish singer Aynur (what a voice) to Siyasiyabend to the jam session (or 'Jugalbandhi ' as we call it in India) in the small Turkish bar ft. Selim Seslar (Big fan now :) ), I enjoyed every minute and wished it wouldn't end.<br /><br />One of the best music commentaries I have seen and heard in a long time. <br /><br />I am craving for a CD of the sound-track and hope I can find it online somewhere soon and also for old and latest albums from Baba Zula.<br /><br />A day later, the music is still etched in my brain and I don't want it to go away. Turkey and specifically Istanbul now seem such beautiful and exciting places - and I am going to start saving today to go take it in.<br /><br />Faith Akin - this is a gem.",positive
"Olivia D'Abo in a wet T-shirt is the only thing this movie has going for it. Other than that, this Canadian production about a man taking out a vicious band of hillbillies is not worth anybody's time. The writing is bad, the acting is poor and the direction is sub-standard.",negative
"At first I thought that this one was supposed to be somewhat of a comedy/horror when I had seen the body in the bathtub with the lady just standing there screaming over and over again but as the film proceeded on, it got more and more flat. The plot was silly with a man upset that the prices of real estate have gone up so now he dicides to call up some radio psyciatrist and babble out his fury because he has nothing better to do. Then the law gets involved and tries desperatly to make us feel that they really care who the caller is and go out of their way to track this guy down. One suspect after another are accused. This movie is terrible and the slow moving love scenes of Adrian B. and her husband are boring and made me just fast forward the movie. Avoid it!",negative
"Though ""The Sopranos"" is yet another gift from the megahit ""The Godfather"" and sequels, which dramatized and to a certain extent glamorized the mafia, ""The Sopranos"" takes another tack. No suited up, classy mobsters here with homes in Lake Tahoe and stakes in Vegas casinos - these guys are goombahs, with a front of waste management, who deal with things that fall off the back of trucks, topless bars, protection money - in short, what the neighborhood mobs were all about.<br /><br />Colorful characters dominate this series, which doesn't hold back on the sex and graphic violence. Tony Soprano (James Gandolfini) is a mob head with a wife and two children, living in New Jersey, who suffers from panic attacks as he tries to balance his biological family with his mafia one. To get to the bottom of his attacks, he sees a psychiatrist, Jennifer Melfi (Lorraine Bracco), who is afraid of him and yet attracted to him at the same time. Tony's henchman - Paulie, his nephew Christopher, his Uncle Junior (the titular head of the mob), his good friend Pussy - are all fully fleshed-out characters.<br /><br />As we learn going through the series, there are enemies not only from without, but from within, and one of those enemies includes Tony's sickly but horrible mother (Nancy Marchand), who convinces Junior that Tony is a danger to him. Tony's sister Janice, meanwhile, is searching for money in her mother's house with a stethoscope and a Geiger counter. Tony has mistress problems, and a wife (Edie Falco) who puts up with a lot because she loves him, all the while keeping ties to her Catholic religion. ""The church frowns on divorce,"" she tells one woman contemplating a split. ""Let the Pope live with him,"" is the response. As far as Tony's mistress problems, his psychiatrist points out that Tony is attracted to demanding women for whom nothing is ever enough, and asks him if it sounds familiar. Yeah, it sounds like his mother.<br /><br />I'm of Italian descent, and yes, I'm sick of Italians being shown in a negative light and everyone assuming all Italians are mobsters. Yet you can't help liking this show, which is a constant reminder of our culture. (Thanksgiving, it's pointed out, isn't turkey and sweet potato pie - it's the antipasto, the manicotti, the meatballs and escarole, and then the bird!) Not to mention, the right-on pronunciation of words like melenzana (mullinyan), escarole (scarole), manicotti (manigot) etc. The only un-Italian thing about Tony is that he doesn't have a finished basement, something unheard of in the rest of my family (except my parents never had one either).<br /><br />The standouts in this show are Gandolfini, as a ruthless gangster on antidepressants, Falco, who is brilliant as his wife, and Bracco as the tortured Jennifer. But everyone is excellent. If you can take the violence and the language, this is a great show, an unrelenting portrait of New Jersey mob life.",positive
"The summary pretty much sums it all up. This is nowhere near as good as the original. With a script co-written by both Stallone and James Cameron (at the same time he was also writing Aliens). Most of the action was written by Cameron and the political aspects were written by Stallone.<br /><br />Sly was in the best condition physically as he was making this and Rocky 4 and he does look in great shape or jacked up to the eyeballs on steroids, depending on your own viewpoint or opinion.<br /><br />Rambo starts off in prison and is visited by Colonel Trautman who asks him to go on a special mission that could earn him a Presidential pardon. He eventually agrees and goes off to the briefing camp run by Charles Napier playing a Washington suit trying to pass himself off as former ex-forces to placate Rambo.<br /><br />The mission is to find out if there are any missing POWs still alive in camps in Vietnam. Rambo was chosen as the camp he was checking was somewhere he had previously been a prisoner himself. He is told it's not a rescue mission and he is there to take recon photos only.<br /><br />After a bad attempt at parachuting from a plane he loses most of his kit, meets his contact (who turns out to be a cute woman) and travels down river with pirates to the camp.<br /><br />He finds there are still prisoners and rescues one. As the 3 flee from half the Vietnamese Army on their river boat they are betrayed by the pirates but Rambo kills them all and they are forced to carry on to the pick-up point on foot after their boat is rammed and blown up with Rambo almost on board.<br /><br />Rambo is betrayed again and abandoned as Napier orders the recall of the rescue helicopter. It is clear as Trautman returns to base to berate him that no survivors were expected to be found.<br /><br />Steven Berkoff turns up as a Russian Spetznatz Colonel and Rambo is tortured and eventually escapes only to be pursued by more Vietnamese troops and Spetznatz. Killing many of them, Rambo finally steals a chopper and rescues most of the prisoners to return to his base.<br /><br />He resists the urge to kill Napier for abandoning him but destroys the Ops Centre.<br /><br />A weak plot and very weak ending as Rambo walks off into the sunset as a free man.",negative
"""Inuyasha "" was awful . This show was incredibly over -hyped but this is nothing but a tedious bunch of anime clichés. The characters are annoying and lifeless ,the story line is boring and endless .I think that it could have be something interesting if it have a better writing, but it seems that the writers of the show have more intentions in show Inuyasha and his stupid friends fighting with some monsters and then crying for his tragic love triangle with Kikyou and Kagome and a lot of circles around the same thing again and again . The script is cheesy and dumb and the animation is poor .The character design it 's very ugly ,I don't know why everyone love it ,all have the same face ! : Big eyes , tiny noses , a line as the mouth and the typical anime haircuts . I find ""Inuyasha "" incredibly boring and dumb . This have to be one of the most over -rated animated shows ever made .",negative
"""54"" is a film based on the infamous ""Studio 54"" of the 1970s - the hangout for the social elite and party clubbers. In the film, Ryan Phillippe is the main character, based on an actual employee of Studio from 1977 - 1982.<br /><br />The film's problem is that it's all glitter and style and no substance. It tries to be a really grimy and probing satire like ""Boogie Nights"" but ultimately comes across as an inferior wannabe. Mike Myers is given the thankless task of playing cocaine-snorting club owner Steve Rubell. It's only a slightly comedic role and if this was Myers' best attempts at sliding into drama like Lemmon and other comedic actors did in their time, it's a total failure.<br /><br />""54"" could have been insightful and interesting but instead it's just another dumb teen flick that isn't entertaining or even remotely engaging. View at your own peril.",negative
"I have not read the novel, or anything other by Kurt Vonnegut, but I am now intending to start. This grips you from the very first frame, and does not let go until the end credits start rolling. Taking you places you don't expect, the plot is interesting throughout. The pacing is spot-on, nothing lasts too long, and this does a perfect job of balancing between unexpected twists and allowing the viewer to process what we've seen. It is well-told and well-thought out. I've never watched a film that I feel I could particularly compare this to. It is intense and exciting, as well as funny and sad. The acting is excellent, Nolte absolutely shines, Goodman again proves that he doesn't have to go for laughs, and Lee and Arkin are spellbinding. I could go on, really... no role is treated to a less than stellar performance. The editing and cinematography are marvelous, and all of the visuals are great, with a couple of unforgettable and astonishing ones. I am going to go for other movies directed by Keith Gordon, as well as the other two apparently related to this, through the author of the books. There is one scene of sexuality, and a lot disturbing and unsettling content in this. I recommend this to anyone who can appreciate it; it is not pleasant. 8/10",positive
"Ooof! This one was a stinker. It does not fall 'somewhere in between Star Wars and Thriller', thats for sure. In all actuality, it falls somewhere between the cracks of a Wham! video and Captain EO, only with not as big of a budget, and a lot more close ups of ugly teenagers crying. Simon Le Bon preens front and center, while the rest of the band gamely tries to hide the fact that they stole their whole career from Roxy Music's last 3 albums. Brief clips from Barbarella add nothing. Avoid at all costs. (However, I liked the part when they played 'Hungry Like The Wolf' but why was there a tiger lurking in the audience changing into a woman painted with tiger stripes? I mean, they aren't singing 'Eye of the Tiger' or 'Hungry like the Tiger' it's a Wolf! Whatever.) A DVD of Duran Duran's '80s videos is probably worth a look for nostalgia's sake",negative
"Received this DVD from the ACCENT range which is a label which specializes in art-house flics, they released Irreversible and a range of Bergman's opus.<br /><br />The thing that struck me about Alex Frayne's strangely titled film MODERN LOVE is that it is an impeccable film that breathes with perfection and vision, a film that takes us into the mind of Mr Joe Average, replete with voices in the head, visions, and madness. It's set in rural redneck Australia, the film doesn't trivialise or praise the folks like so many Australian movies. ie our films are full of ""loveable rogues"" or people with ""hearts of gold"" etc etc etc.<br /><br />Not in this film. The spirit of Stanley Kubrick looms large here, it's not flawless, but has a mesmerising attention to details, a romantic streak and a mood that is bracing if not embraceable.<br /><br />Minor quibbles...the transfer looks faulty - front credits were sliced, they don't fit in frame.<br /><br />Also, one of the short films is corrupted, it stops half way.",positive
"Hayao Miyazaki name became prominent with Spitied Away, however what is often overlooked are director's first film efforts. Who remembers that Spielberg directed Duel or George Lucas directed THX 1138? I remember seeing fragments of this movie - almost certainly the last 45 minutes in late 80s and what stuck with me was the visual lushness of the design and animation. So when I found a copy in a well known store for £9 I couldn't resist but buy it. The odd thing is that the last 45 minutes of the movie do not tally with my memory of it (memory is funny that way).<br /><br />Viewing this movie now with all the gained knowledge of artists portfolios is how very like Jean 'Moebius' Giraud some of the artwork is. I can only assume some influence here.<br /><br />When Pazu catches a falling girl (Sheeta) his adventure really begins - the quest for Laputa - a reference to Jonathan Swift's overlooked portion of Gulliver's Travels. With healthy references to Jules Verne it's a basic good vs. bad chase movie with the final portion having the heroes end up on Laputa.<br /><br />This is the portion that is strongest in my memory - the 'pastoral' ecological aspect of Laputa returned to nature - the multitude of robots covered in moss beneath the giant tree. This is, in my opinion, the highlight of the movie - the views of the surface of Laputa, as opposed to the mechanised underground.<br /><br />Although this is the dichotomy of this movie - to show that even technology cannot overcome nature - the irony of the last robot tending the garden and animals. The ending of the movie Silent Running is almost exactly the same.<br /><br />It is incredibly stylish, I would not say 'slick' - very beautiful and organic and a tremendous amount of detail in the buildings, airships and the design and look of just about everything.<br /><br />Myazaki is a true master of this kind of Japnanese anime. Buy this movie and treasure it.",positive
"Lonely, disconnected, middle-class housewife in the midst of a divorce seeks solace to reflect on her immediate future. At some sort of bed and breakfast by (well, literally in the sea) the ocean that for some sort of odd reason she subs for the owner. Enter lonely, arrogant Richard Gere. He is a plastic surgeon. He is the only guest at the inn in the sea. Diane Lane is the lonely housewife. You'll never guess these two fall immediately in love. A tropical storm makes them true lovers.<br /><br />The subplots in this melodrama make little or no sense. The locations, photography are fine. Gere remains one of the most over-rated actors in cinema and does not disappoint. Ms. Lane must've needed the money, but phones in her part with grace.",negative
"Kirsten Dunst is terribly overrated as an actress. You can tell always she's just ""acting"". I like Izzard though. Plot is awfully boring. The viewer has no real connections to the characters, never knowing who to really sympathize with, or even care about. Slow, dull movie, with some laughs, but few and not very funny anyway. Plot is not engaging or suspenseful in the least. You can see each plot turn coming a mile away. What is this movie supposed to be? Comedy? Drama? Who cares? You won't by the end of this film.",negative
"I watched this movie based on the comments of a few that said that is was bad but funny. But you need to be warned that this movie has the worst special effects ever produced. They make 1950s science fiction movies look like works of art. This is funny at times, but annoying for the most part. And to compound the problem with the seriously pathetic special effects is the total lack of logic that characterized a majority of the events depicted. One of my favorites is where three of the characters drop hundreds of feet into a tunnel created by the arachnia and arrive to find it fully lit. Apparantely the arachnia have also managed to hook into the power grid. Very impressive. But this is just one example. And for what its worth, the music sucks, the acting sucks, the two cute girls are annoying, the obnoxious guy is annoying, the so-called handsome lead man is a geek, and the black girl who fall for him is a fool. Her father is the worst actor I have ever seen. I am not sure the brief moments of humor can possibly make up for the experience.",negative
